CMDLINE /Users/sghelichkhani/Workplace/firedrake-2025-01-23/bin/python3 adjoint.py
MEM 0.234375 1739142498.4279
MEM 41.937500 1739142498.5331
MEM 86.671875 1739142498.6382
MEM 102.640625 1739142498.7433
MEM 102.640625 1739142498.8483
MEM 102.656250 1739142498.9534
MEM 112.765625 1739142499.0585
MEM 143.031250 1739142499.1636
MEM 162.906250 1739142499.2688
MEM 180.656250 1739142499.3739
MEM 189.656250 1739142499.4790
MEM 227.046875 1739142499.5841
MEM 243.953125 1739142499.6893
MEM 250.203125 1739142499.7944
MEM 250.046875 1739142499.8995
MEM 261.546875 1739142500.0046
MEM 264.828125 1739142500.1097
MEM 267.828125 1739142500.2149
MEM 270.046875 1739142500.3199
MEM 271.218750 1739142500.4250
MEM 271.687500 1739142500.5300
MEM 271.781250 1739142500.6351
MEM 273.125000 1739142500.7402
MEM 273.609375 1739142500.8454
MEM 273.906250 1739142500.9504
MEM 275.156250 1739142501.0555
MEM 277.250000 1739142501.1606
MEM 278.281250 1739142501.2657
MEM 279.062500 1739142501.3708
MEM 280.406250 1739142501.4760
MEM 283.921875 1739142501.5812
MEM 284.203125 1739142501.6863
MEM 285.843750 1739142501.7914
MEM 287.000000 1739142501.8965
MEM 288.796875 1739142502.0016
MEM 293.296875 1739142502.1068
MEM 293.796875 1739142502.2086
MEM 293.937500 1739142502.3138
MEM 297.093750 1739142502.4189
MEM 298.421875 1739142502.5241
MEM 299.093750 1739142502.6292
MEM 299.500000 1739142502.7343
MEM 300.125000 1739142502.8394
MEM 302.140625 1739142502.9446
MEM 303.187500 1739142503.0497
MEM 303.734375 1739142503.1548
MEM 303.734375 1739142503.2599
MEM 303.953125 1739142503.3650
MEM 304.640625 1739142503.4696
MEM 304.765625 1739142503.5746
MEM 305.203125 1739142503.6797
MEM 305.921875 1739142503.7849
MEM 305.890625 1739142503.8900
MEM 306.296875 1739142503.9952
MEM 307.265625 1739142504.1004
MEM 307.218750 1739142504.2055
MEM 310.781250 1739142504.3106
MEM 311.281250 1739142504.4117
MEM 311.531250 1739142504.5167
MEM 311.656250 1739142504.6218
MEM 311.828125 1739142504.7270
MEM 311.640625 1739142504.8321
MEM 316.250000 1739142504.9372
MEM 317.640625 1739142505.0423
MEM 318.312500 1739142505.1473
MEM 320.562500 1739142505.2506
MEM 320.828125 1739142505.3519
MEM 321.093750 1739142505.4570
MEM 321.890625 1739142505.5622
MEM 322.265625 1739142505.6672
MEM 324.015625 1739142505.7724
MEM 324.984375 1739142505.8774
MEM 327.703125 1739142505.9826
MEM 328.250000 1739142506.0877
MEM 328.390625 1739142506.1929
MEM 328.671875 1739142506.2981
MEM 328.718750 1739142506.4005
MEM 329.546875 1739142506.5056
MEM 330.093750 1739142506.6108
MEM 330.031250 1739142506.7138
MEM 330.500000 1739142506.8189
MEM 332.437500 1739142506.9240
MEM 332.890625 1739142507.0271
MEM 333.125000 1739142507.1322
MEM 333.296875 1739142507.2373
MEM 333.843750 1739142507.3424
MEM 334.078125 1739142507.4475
MEM 334.765625 1739142507.5526
MEM 335.140625 1739142507.6576
MEM 335.390625 1739142507.7627
MEM 335.906250 1739142507.8679
MEM 336.062500 1739142507.9697
MEM 342.031250 1739142508.0749
MEM 345.515625 1739142508.1801
MEM 345.984375 1739142508.2852
MEM 358.265625 1739142508.3901
MEM 358.656250 1739142508.4952
MEM 358.750000 1739142508.6003
MEM 358.781250 1739142508.7034
MEM 359.062500 1739142508.8086
MEM 360.343750 1739142508.9137
MEM 365.875000 1739142509.0188
MEM 366.421875 1739142509.1240
MEM 367.218750 1739142509.2291
MEM 369.562500 1739142509.3300
MEM 369.875000 1739142509.4351
MEM 369.843750 1739142509.5402
MEM 369.859375 1739142509.6434
MEM 370.593750 1739142509.7485
MEM 371.218750 1739142509.8518
MEM 371.781250 1739142509.9569
MEM 372.203125 1739142510.0621
MEM 372.421875 1739142510.1672
MEM 372.828125 1739142510.2693
MEM 373.703125 1739142510.3744
MEM 374.218750 1739142510.4795
MEM 374.234375 1739142510.5802
MEM 374.687500 1739142510.6853
MEM 374.703125 1739142510.7860
MEM 375.250000 1739142510.8877
MEM 375.562500 1739142510.9906
MEM 375.796875 1739142511.0958
MEM 376.265625 1739142511.2009
MEM 376.515625 1739142511.3061
MEM 377.015625 1739142511.4104
MEM 378.250000 1739142511.5155
MEM 378.453125 1739142511.6170
MEM 381.015625 1739142511.7222
MEM 381.359375 1739142511.8273
MEM 382.187500 1739142511.9323
MEM 382.234375 1739142512.0375
MEM 382.625000 1739142512.1426
MEM 383.015625 1739142512.2476
MEM 383.140625 1739142512.3517
MEM 383.187500 1739142512.4568
MEM 383.312500 1739142512.5620
MEM 387.718750 1739142512.6670
MEM 391.000000 1739142512.7721
MEM 391.375000 1739142512.8772
MEM 391.578125 1739142512.9824
MEM 392.046875 1739142513.0875
MEM 392.187500 1739142513.1923
MEM 392.375000 1739142513.2974
MEM 392.453125 1739142513.4025
MEM 393.078125 1739142513.5076
MEM 394.328125 1739142513.6127
MEM 394.687500 1739142513.7178
MEM 395.531250 1739142513.8212
MEM 395.562500 1739142513.9263
MEM 395.796875 1739142514.0314
MEM 395.828125 1739142514.1366
MEM 396.968750 1739142514.2415
MEM 397.406250 1739142514.3466
MEM 397.640625 1739142514.4518
MEM 398.015625 1739142514.5570
