CMDLINE python3 adjoint.py
MEM 0.187500 1738751404.7533
MEM 53.140625 1738751404.8585
MEM 69.359375 1738751404.9635
MEM 69.359375 1738751405.0686
MEM 86.828125 1738751405.1737
MEM 124.687500 1738751405.2784
MEM 136.859375 1738751405.3834
MEM 158.750000 1738751405.4868
MEM 194.750000 1738751405.5919
MEM 208.578125 1738751405.6970
MEM 208.453125 1738751405.8021
MEM 216.093750 1738751405.9072
MEM 224.500000 1738751406.0123
MEM 226.625000 1738751406.1174
MEM 231.421875 1738751406.2226
MEM 231.765625 1738751406.3277
MEM 233.031250 1738751406.4329
MEM 233.156250 1738751406.5380
MEM 233.406250 1738751406.6431
MEM 233.875000 1738751406.7482
MEM 234.500000 1738751406.8506
MEM 234.656250 1738751406.9557
MEM 234.781250 1738751407.0608
MEM 235.593750 1738751407.1659
MEM 237.921875 1738751407.2668
MEM 238.453125 1738751407.3719
MEM 240.109375 1738751407.4771
MEM 242.671875 1738751407.5798
MEM 243.921875 1738751407.6849
MEM 245.484375 1738751407.7901
MEM 247.375000 1738751407.8952
MEM 247.656250 1738751407.9992
MEM 247.656250 1738751408.1043
MEM 248.390625 1738751408.2095
MEM 251.843750 1738751408.3147
MEM 252.062500 1738751408.4199
MEM 252.781250 1738751408.5228
MEM 256.250000 1738751408.6277
MEM 257.343750 1738751408.7329
MEM 258.765625 1738751408.8380
MEM 258.843750 1738751408.9431
MEM 258.937500 1738751409.0482
MEM 260.843750 1738751409.1534
MEM 262.859375 1738751409.2585
MEM 263.156250 1738751409.3636
MEM 263.062500 1738751409.4687
MEM 263.453125 1738751409.5738
MEM 264.328125 1738751409.6789
MEM 264.531250 1738751409.7839
MEM 264.765625 1738751409.8891
MEM 265.406250 1738751409.9942
MEM 265.718750 1738751410.0994
MEM 265.953125 1738751410.2045
MEM 267.296875 1738751410.3096
MEM 267.578125 1738751410.4148
MEM 269.203125 1738751410.5199
MEM 270.390625 1738751410.6250
MEM 271.234375 1738751410.7301
MEM 271.703125 1738751410.8352
MEM 271.546875 1738751410.9403
MEM 271.843750 1738751411.0454
MEM 275.140625 1738751411.1505
MEM 279.281250 1738751411.2557
MEM 279.328125 1738751411.3609
MEM 279.656250 1738751411.4659
MEM 279.781250 1738751411.5711
