CMDLINE python3 adjoint.py
MEM 0.171875 1738748949.3824
MEM 52.687500 1738748949.4853
MEM 68.546875 1738748949.5904
MEM 68.562500 1738748949.6921
MEM 83.671875 1738748949.7971
MEM 119.203125 1738748949.9023
MEM 135.859375 1738748950.0073
MEM 157.062500 1738748950.1125
MEM 193.875000 1738748950.2176
MEM 208.468750 1738748950.3200
MEM 208.343750 1738748950.4250
MEM 218.343750 1738748950.5302
MEM 237.062500 1738748950.6320
MEM 237.609375 1738748950.7372
CMDLINE python3 adjoint.py
MEM 0.437500 1738750376.9735
MEM 52.562500 1738750377.0787
MEM 68.203125 1738750377.1838
MEM 68.343750 1738750377.2888
MEM 89.484375 1738750377.3940
MEM 126.078125 1738750377.4992
MEM 142.796875 1738750377.6043
MEM 172.000000 1738750377.7057
MEM 199.968750 1738750377.8108
MEM 207.906250 1738750377.9159
MEM 207.765625 1738750378.0209
MEM 226.234375 1738750378.1260
MEM 249.546875 1738750378.2312
MEM 253.140625 1738750378.3351
MEM 253.937500 1738750378.4402
MEM 255.203125 1738750378.5404
MEM 256.312500 1738750378.6455
MEM 256.609375 1738750378.7506
MEM 258.546875 1738750378.8557
MEM 258.687500 1738750378.9608
MEM 258.953125 1738750379.0658
MEM 259.906250 1738750379.1709
MEM 262.375000 1738750379.2760
MEM 262.843750 1738750379.3811
MEM 264.718750 1738750379.4862
MEM 266.218750 1738750379.5913
MEM 267.593750 1738750379.6963
MEM 268.796875 1738750379.8014
MEM 272.781250 1738750379.9065
MEM 272.828125 1738750380.0115
MEM 273.171875 1738750380.1167
MEM 276.843750 1738750380.2217
MEM 277.312500 1738750380.3268
MEM 277.953125 1738750380.4294
MEM 278.078125 1738750380.5345
MEM 278.437500 1738750380.6396
MEM 281.609375 1738750380.7447
MEM 284.671875 1738750380.8499
MEM 286.828125 1738750380.9550
MEM 287.125000 1738750381.0602
MEM 287.484375 1738750381.1654
MEM 288.593750 1738750381.2705
MEM 289.296875 1738750381.3756
MEM 289.281250 1738750381.4806
MEM 290.500000 1738750381.5858
MEM 290.140625 1738750381.6909
MEM 293.031250 1738750381.7960
MEM 293.812500 1738750381.9012
MEM 293.875000 1738750382.0062
MEM 294.953125 1738750382.1113
MEM 297.046875 1738750382.2165
MEM 297.875000 1738750382.3216
MEM 297.937500 1738750382.4267
MEM 298.046875 1738750382.5318
MEM 297.703125 1738750382.6369
MEM 302.671875 1738750382.7420
MEM 303.968750 1738750382.8470
MEM 304.890625 1738750382.9521
MEM 307.203125 1738750383.0572
MEM 307.421875 1738750383.1623
MEM 308.281250 1738750383.2674
MEM 308.953125 1738750383.3725
MEM 309.156250 1738750383.4776
MEM 310.390625 1738750383.5827
MEM 310.953125 1738750383.6877
MEM 312.781250 1738750383.7928
MEM 313.406250 1738750383.8979
MEM 313.500000 1738750384.0030
MEM 313.656250 1738750384.1081
MEM 313.843750 1738750384.2133
MEM 315.125000 1738750384.3183
MEM 315.984375 1738750384.4234
MEM 315.906250 1738750384.5284
MEM 316.281250 1738750384.6335
MEM 317.140625 1738750384.7386
MEM 317.203125 1738750384.8436
MEM 317.703125 1738750384.9487
MEM 318.765625 1738750385.0538
MEM 318.937500 1738750385.1589
MEM 320.750000 1738750385.2639
MEM 321.296875 1738750385.3691
MEM 321.375000 1738750385.4742
MEM 321.921875 1738750385.5793
MEM 321.937500 1738750385.6843
MEM 324.312500 1738750385.7894
MEM 330.656250 1738750385.8946
MEM 332.390625 1738750385.9997
